Controls,image,url,icon,stix_type,protocol,group,typeql,class,form,form_group,form_family,condition1,field1,value1,condition2,field2,value2,head,prior_string0,post_field0,prior_string1,post_field1,prior_string2,post_field2,prior_string3,post_field3,prior_string4,post_field4,prior_string5,post_field5,prior_string6,post_field6
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-attack-mitigation.svg,attack-mitigation,course-of-action,attack,sdo,mitigation,Mitigation,attack-mitigation,sdo-forms,attack-forms,EXISTS,x_mitre_attack_spec_version,,,,,Attack-Mitigation,Mitigation ID -> ,external_references.[0].external_id,Name -> ,name,Description ->,description,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-note.svg,note,note,stix21,sdo,note,Note,note,sdo-forms,attack-forms,,,,,,,Note,Abstract -> ,abstract,Content -> ,content,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-observed-data.svg,observed-data,observed-data,stix21,sdo,observed-data,ObservedData,observed-data,sdo-forms,stix-forms,,,,,,,Observed-Data,First Seen -> ,first_observed,Last Seen -> ,last_observed,Number of Times ->,,number_observed,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-opinion.svg,opinion,opinion,stix21,sdo,observed-data,Opinion,opinion,sdo-forms,stix-forms,,,,,,,Opinion,Authors -> ,authors,Opinion -> ,opinion,Explanation -> ,explanation,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-oca-playbook.svg,oca-playbook,x-oca-playbook,oca,sdo,playbook,Playbook,oca-playbook,sdo-forms,stix-forms,,,,,,,Oca-Playbook,Name -> ,name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-report.svg,report,report,stix21,sdo,report,Report,report,sdo-forms,oca-forms,,,,,,,Report,Type ->,report_types,Name -> ,name,Description ->,description,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-step-terminal.svg,step-terminal,sequence,os-threat,sdo,sequence,Sequence,sequence,sdo-forms,stix-forms,EQUALS,step_type,start_step,,,,Step-Terminal,For -> ,sequence_type,Type -> ,step_type,On Completion -> ,on_completion_ref,On Success -> ,on_success_ref,On Failure -> ,on_failure_ref,Next Steps -> ,next_step_refs,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-step-xor.svg,step-xor,sequence,os-threat,sdo,start-step,Sequence,sequence,sdo-forms,os-threat-forms,EXISTS,on_success_ref,,,,,Step - Choice,For -> ,sequence_type,Type -> ,step_type,On Completion -> ,on_completion_ref,On Success -> ,on_success_ref,On Failure -> ,on_failure_ref,Next Steps -> ,next_step_refs,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-step-parallel.svg,step-parallel,sequence,os-threat,sdo,end-step,Sequence,sequence,sdo-forms,os-threat-forms,EQUALS,step_type,parallel_step,,,,Step-Parallel,For -> ,sequence_type,Type -> ,step_type,On Completion -> ,on_completion_ref,On Success -> ,on_success_ref,On Failure -> ,on_failure_ref,Next Steps -> ,next_step_refs,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-step-single.svg,step-single,sequence,os-threat,sdo,single-step,Sequence,sequence,sdo-forms,os-threat-forms,EQUALS,step_type,single_step,,,,Step-Single,For -> ,sequence_type,Type -> ,step_type,On Completion -> ,on_completion_ref,On Success -> ,on_success_ref,On Failure -> ,on_failure_ref,Next Steps -> ,next_step_refs,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-attack-software.svg,attack-software,malware,attack,sdo,software-malware,SoftwareMalware,attack-malware,sdo-forms,os-threat-forms,EXISTS,x_mitre_attack_spec_version,,,,,Attack-Software,Software ID -> ,external_references.[0].external_id,Name -> ,name,Description ->,description,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-attack-software.svg,attack-software,tool,attack,sdo,software-tool,SoftwareTool,attack-software,sdo-forms,attack-forms,EXISTS,x_mitre_attack_spec_version,,,,,Attack-Software,Software ID -> ,external_references.[0].external_id,Name -> ,name,Description ->,description,Type ->,tool_types,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-atlas-subtechnique.svg,atlas-subtechnique,attack-pattern,atlas,sdo,sub-technique,SubTechnique,atlas-subtechnique,sdo-forms,attack-forms,EQUALS,external_references.[0].source_name,mitre-atlas,EQUALS,x_mitre_is_subtechnique,TRUE,Atlas-Subtechnique,Name -> ,name,Atlas ID -> ,external_references.[0].external_id,Description ->,description,,,,,,,,
